LAT,LON,PARAMETER,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
17.25,-116.25,ALLSKY_SFC_SW_DWN,4.43,5.13,5.85,6.23,6.32,6.17,6.48,6.22,6.02,5.4,4.54,3.97,5.56
17.75,-116.25,ALLSKY_SFC_SW_DWN,4.43,5.13,5.85,6.23,6.32,6.17,6.48,6.22,6.02,5.4,4.54,3.97,5.56
18.25,-116.25,ALLSKY_SFC_SW_DWN,4.36,5.04,5.82,6.31,6.41,6.18,6.42,6.2,5.86,5.29,4.48,3.88,5.52
18.75,-116.25,ALLSKY_SFC_SW_DWN,4.36,5.04,5.82,6.31,6.41,6.18,6.42,6.2,5.86,5.29,4.48,3.88,5.52
19.25,-116.25,ALLSKY_SFC_SW_DWN,4.3,4.99,5.81,6.35,6.39,6.24,6.27,6.21,5.77,5.2,4.4,3.79,5.48
19.75,-116.25,ALLSKY_SFC_SW_DWN,4.3,4.99,5.81,6.35,6.39,6.24,6.27,6.21,5.77,5.2,4.4,3.79,5.48
20.25,-116.25,ALLSKY_SFC_SW_DWN,4.25,5.01,5.77,6.34,6.35,6.25,6.22,6.16,5.67,5.17,4.37,3.72,5.44
20.75,-116.25,ALLSKY_SFC_SW_DWN,4.25,5.01,5.77,6.34,6.35,6.25,6.22,6.16,5.67,5.17,4.37,3.72,5.44
21.25,-116.25,ALLSKY_SFC_SW_DWN,4.23,5.03,5.75,6.38,6.36,6.31,6.19,6.13,5.63,5.16,4.37,3.71,5.44
21.75,-116.25,ALLSKY_SFC_SW_DWN,4.23,5.03,5.75,6.38,6.36,6.31,6.19,6.13,5.63,5.16,4.37,3.71,5.44
22.25,-116.25,ALLSKY_SFC_SW_DWN,4.22,4.99,5.76,6.4,6.38,6.31,6.18,6.06,5.6,5.11,4.37,3.73,5.43
22.75,-116.25,ALLSKY_SFC_SW_DWN,4.22,4.99,5.76,6.4,6.38,6.31,6.18,6.06,5.6,5.11,4.37,3.73,5.43
23.25,-116.25,ALLSKY_SFC_SW_DWN,4.22,4.96,5.79,6.48,6.45,6.27,6.26,6.14,5.61,5.08,4.33,3.74,5.44
23.75,-116.25,ALLSKY_SFC_SW_DWN,4.22,4.96,5.79,6.48,6.45,6.27,6.26,6.14,5.61,5.08,4.33,3.74,5.44
24.25,-116.25,ALLSKY_SFC_SW_DWN,4.17,4.95,5.77,6.52,6.46,6.27,6.3,6.2,5.61,5.01,4.32,3.76,5.45
24.75,-116.25,ALLSKY_SFC_SW_DWN,4.17,4.95,5.77,6.52,6.46,6.27,6.3,6.2,5.61,5.01,4.32,3.76,5.45
25.25,-116.25,ALLSKY_SFC_SW_DWN,4.12,4.89,5.77,6.56,6.42,6.25,6.34,6.22,5.61,4.95,4.27,3.75,5.43
25.75,-116.25,ALLSKY_SFC_SW_DWN,4.12,4.89,5.77,6.56,6.42,6.25,6.34,6.22,5.61,4.95,4.27,3.75,5.43
26.25,-116.25,ALLSKY_SFC_SW_DWN,4.02,4.8,5.77,6.63,6.44,6.2,6.29,6.19,5.6,4.87,4.24,3.69,5.39
26.75,-116.25,ALLSKY_SFC_SW_DWN,4.02,4.8,5.77,6.63,6.44,6.2,6.29,6.19,5.6,4.87,4.24,3.69,5.39
27.25,-116.25,ALLSKY_SFC_SW_DWN,3.92,4.72,5.72,6.66,6.41,6.1,6.14,6.08,5.56,4.77,4.18,3.62,5.32
27.75,-116.25,ALLSKY_SFC_SW_DWN,3.92,4.72,5.72,6.66,6.41,6.1,6.14,6.08,5.56,4.77,4.18,3.62,5.32
28.25,-116.25,ALLSKY_SFC_SW_DWN,3.84,4.64,5.67,6.68,6.33,5.94,5.98,5.95,5.53,4.71,4.14,3.54,5.25
28.75,-116.25,ALLSKY_SFC_SW_DWN,3.84,4.64,5.67,6.68,6.33,5.94,5.98,5.95,5.53,4.71,4.14,3.54,5.25
29.25,-116.25,ALLSKY_SFC_SW_DWN,3.71,4.52,5.5,6.58,6.1,5.71,5.86,5.77,5.45,4.56,4.02,3.45,5.1
29.75,-116.25,ALLSKY_SFC_SW_DWN,3.71,4.52,5.5,6.58,6.1,5.71,5.86,5.77,5.45,4.56,4.02,3.45,5.1
30.25,-116.25,ALLSKY_SFC_SW_DWN,3.61,4.41,5.4,6.53,6.13,5.77,6,5.84,5.41,4.46,3.94,3.35,5.07
30.75,-116.25,ALLSKY_SFC_SW_DWN,3.61,4.41,5.4,6.53,6.13,5.77,6,5.84,5.41,4.46,3.94,3.35,5.07
31.25,-116.25,ALLSKY_SFC_SW_DWN,3.44,4.19,5.27,6.47,6.32,6.14,6.28,6.11,5.42,4.38,3.73,3.18,5.08
31.75,-116.25,ALLSKY_SFC_SW_DWN,3.44,4.19,5.27,6.47,6.32,6.14,6.28,6.11,5.42,4.38,3.73,3.18,5.08
32.25,-116.25,ALLSKY_SFC_SW_DWN,3.24,4.02,5.19,6.54,6.91,7.04,6.93,6.46,5.55,4.39,3.53,3.01,5.23
32.75,-116.25,ALLSKY_SFC_SW_DWN,3.24,4.02,5.19,6.54,6.91,7.04,6.93,6.46,5.55,4.39,3.53,3.01,5.23
14.75,-115.75,ALLSKY_SFC_SW_DWN,4.6,5.44,6.24,6.41,6.47,6.31,6.1,5.95,5.82,5.5,4.75,4.24,5.65
15.25,-115.75,ALLSKY_SFC_SW_DWN,4.55,5.37,6.11,6.37,6.41,6.24,6.35,6.13,5.96,5.54,4.71,4.15,5.66
15.75,-115.75,ALLSKY_SFC_SW_DWN,4.55,5.37,6.11,6.37,6.41,6.24,6.35,6.13,5.96,5.54,4.71,4.15,5.66
16.25,-115.75,ALLSKY_SFC_SW_DWN,4.49,5.3,6.02,6.34,6.37,6.23,6.44,6.21,6.05,5.45,4.68,4.1,5.64
16.75,-115.75,ALLSKY_SFC_SW_DWN,4.49,5.3,6.02,6.34,6.37,6.23,6.44,6.21,6.05,5.45,4.68,4.1,5.64
17.25,-115.75,ALLSKY_SFC_SW_DWN,4.47,5.24,5.95,6.31,6.4,6.2,6.54,6.28,6.02,5.42,4.61,4.02,5.62
17.75,-115.75,ALLSKY_SFC_SW_DWN,4.47,5.24,5.95,6.31,6.4,6.2,6.54,6.28,6.02,5.42,4.61,4.02,5.62
18.25,-115.75,ALLSKY_SFC_SW_DWN,4.41,5.14,5.95,6.39,6.51,6.25,6.51,6.31,5.92,5.36,4.54,3.93,5.6
18.75,-115.75,ALLSKY_SFC_SW_DWN,4.41,5.14,5.95,6.39,6.51,6.25,6.51,6.31,5.92,5.36,4.54,3.93,5.6
19.25,-115.75,ALLSKY_SFC_SW_DWN,4.35,5.08,5.96,6.43,6.53,6.32,6.38,6.35,5.78,5.26,4.47,3.84,5.56
19.75,-115.75,ALLSKY_SFC_SW_DWN,4.35,5.08,5.96,6.43,6.53,6.32,6.38,6.35,5.78,5.26,4.47,3.84,5.56
20.25,-115.75,ALLSKY_SFC_SW_DWN,4.33,5.09,5.92,6.45,6.5,6.36,6.34,6.35,5.69,5.22,4.42,3.8,5.54
20.75,-115.75,ALLSKY_SFC_SW_DWN,4.33,5.09,5.92,6.45,6.5,6.36,6.34,6.35,5.69,5.22,4.42,3.8,5.54
21.25,-115.75,ALLSKY_SFC_SW_DWN,4.33,5.08,5.88,6.48,6.5,6.47,6.37,6.35,5.73,5.23,4.46,3.79,5.56
21.75,-115.75,ALLSKY_SFC_SW_DWN,4.33,5.08,5.88,6.48,6.5,6.47,6.37,6.35,5.73,5.23,4.46,3.79,5.56
22.25,-115.75,ALLSKY_SFC_SW_DWN,4.31,5.07,5.87,6.52,6.51,6.47,6.43,6.31,5.7,5.22,4.43,3.81,5.55
22.75,-115.75,ALLSKY_SFC_SW_DWN,4.31,5.07,5.87,6.52,6.51,6.47,6.43,6.31,5.7,5.22,4.43,3.81,5.55
23.25,-115.75,ALLSKY_SFC_SW_DWN,4.29,5.03,5.9,6.6,6.59,6.46,6.49,6.37,5.73,5.21,4.43,3.84,5.58
23.75,-115.75,ALLSKY_SFC_SW_DWN,4.29,5.03,5.9,6.6,6.59,6.46,6.49,6.37,5.73,5.21,4.43,3.84,5.58
24.25,-115.75,ALLSKY_SFC_SW_DWN,4.25,5,5.88,6.65,6.6,6.44,6.56,6.42,5.77,5.17,4.41,3.81,5.58
24.75,-115.75,ALLSKY_SFC_SW_DWN,4.25,5,5.88,6.65,6.6,6.44,6.56,6.42,5.77,5.17,4.41,3.81,5.58
25.25,-115.75,ALLSKY_SFC_SW_DWN,4.19,4.96,5.88,6.71,6.59,6.42,6.59,6.49,5.77,5.09,4.38,3.79,5.57
25.75,-115.75,ALLSKY_SFC_SW_DWN,4.19,4.96,5.88,6.71,6.59,6.42,6.59,6.49,5.77,5.09,4.38,3.79,5.57
26.25,-115.75,ALLSKY_SFC_SW_DWN,4.11,4.88,5.9,6.77,6.55,6.38,6.59,6.51,5.8,5.02,4.33,3.77,5.55
26.75,-115.75,ALLSKY_SFC_SW_DWN,4.11,4.88,5.9,6.77,6.55,6.38,6.59,6.51,5.8,5.02,4.33,3.77,5.55
